region,fluggebiet,site_name,latitude,longitude,elevation_m,wind_N,wind_NE,wind_E,wind_SE,wind_S,wind_SW,wind_W,wind_NW,slope_azimuth,slope_angle,kritischer_foehn,terrain_type,analyse_region,bemerkungen_flug,bemerkung_flug_effekt,bemerkungen_sicherheit,bemerkung_sicherheit_effekt,bemerkungen_sonstiges
Bern,Falkenflue,Hasli-Ruegsau,47.0028,7.64409,770,1,1,1,0,1,0,0,0,,,Süd,hochalpin,Berner Oberland,,,,,
Wallis,Haute-Nendaz,Haute-Nendaz - Tracouet,46.1612,7.28329,2200,1,0,0,0,0,0,0,0,,,Beide,hochalpin,Unterwallis,,,,,
Graubünden,Hitzeggen,Hitzeggen (Val Lumnezia),46.7351,9.13962,2040,1,1,1,1,1,0,0,1,,,Beide,hochalpin,Surselva,,,,,Thermikaufwinde an der Südseite des Hangs. Bester Startplatz: steile Wiese westlich der Gondelstation.
Berneroberland,Hochstollen,Hochstollen,46.7733,8.23796,2480,0,0,0,0,0,0,1,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Schwyz,Hochstuckli,Hochstuckli,47.0579,8.66541,1480,0,0,0,0,0,1,1,1,,,Süd,voralpen,Mittelland Zentral,,,,,
Wallis,Schwarzsee,Hoehbalmenstaffel,46.0201,7.72594,2490,0,0,0,1,0,0,0,0,,,Beide,hochalpin,Mattertal / Saastal,,,,,
Berneroberland,Käserstatt,Hohbiel,46.7595,8.22009,1950,0,0,0,0,0,1,0,0,,,Beide,alpen,Berner Voralpen,,,,,
Ostschweiz,Hoher Kasten,Hoher Kasten,47.2869,9.48645,1671,0,0,1,0,0,0,1,0,,,Beide,voralpen,Ostschweiz,,,Bei stärkerem Westwind wird der Sattel-Start problematisch - tieferen Startplatz wählen.,"WETTER-TRIGGER: bei stärkerem Westwind wird der Sattel-Start problematisch → caution + tieferen Startplatz empfehlen, safe_window am Hauptstart einschränken.","Verschiedene Startplätze; normalerweise Start im Sattel. Start nach Osten möglich, selten genutzt."
Berneroberland,Wispile,Wispile-1900 (Saanen- Gstaad),46.4364,7.29486,1870,1,1,1,1,0,1,1,1,,,Süd,voralpen,Freiburger Voralpen,"Ost-Start morgens, West-Start nachmittags, Nord-Start bei Bise (N/NO-Wind).","Kein Rating-Abzug — Tag flexibel: Ost-Start morgens, West-Start nachmittags, Nord-Start bei Bise; best_window nach anliegender Richtung wählen.",,,
Zentralschweiz,Ober Büelen,Hohmad,46.8415,8.26585,1920,0,0,0,1,0,0,0,1,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Fribourg,Hohmattli,Hohmattli-1770,46.6696,7.31842,1770,1,1,0,0,0,1,1,1,,,Süd,voralpen,Freiburger Voralpen,,,,,
Zentralschweiz,Wirzweli,Wirzweli-Horn,46.9095,8.37454,1470,1,0,0,0,0,0,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Berneroberland,Horneggli,Hornberg,46.4949,7.31359,1750,1,0,0,0,0,0,0,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Berneroberland,Horneggli,Hornflue-1810,46.4868,7.31361,1810,0,0,0,0,0,1,1,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Graubünden,Weisshorn,Arosa - Hoernli / Hörnli,46.7668,9.62017,2480,0,0,1,0,1,0,0,0,,,Beide,alpen,Prättigau - Davos,,,,,
Wallis,Bendolla,Hotel Weisshorn (St.Luc),46.2088,7.61809,2320,1,0,0,0,0,0,1,1,,,Beide,hochalpin,Unterwallis,,,,,
Wallis,Laucheralp,Howitzen,46.3999,7.81312,2370,0,0,0,0,0,0,1,0,,,Beide,hochalpin,Zentralwallis,,,,,
Berneroberland,Hügeligrat,Hugeligrat,46.5196,7.26597,1890,0,0,0,1,0,0,0,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Schwyz,Hummel,Hummel (Oben),47.0985,8.77173,1330,1,1,0,0,0,0,0,0,,,Süd,voralpen,Mittelland Zentral,,,,,
Ostschweiz,Hüsliberg,Schänis / Hüsliberg,47.1897,9.0748,1002,0,0,0,0,0,1,0,0,,,Süd,alpen,Alpstein / Ostschweiz,,,Nur den ausgewiesenen Startplatz nutzen - obere Startplätze liegen in Wildschutzzone und sind verboten. Im Juni und September wegen Kühen zeitweise geschlossen.,"VERBOT+SPERRE: nur ausgewiesener Startplatz (obere liegen in Wildschutzzone, verboten); Juni und September zeitweise gesperrt (Kühe) → in Sperrzeiten no_go.","Kein Parkplatz am Start; Shuttle vom Landeplatz oder 1,5 h Wanderung."
Schwyz,Spirstock,Ilgisalp,46.9928,8.77108,1680,0,0,0,0,0,0,0,1,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Berneroberland,Gündlischwand-Iselten,Iselten,46.6564,7.92202,1830,0,0,1,1,1,0,0,0,,,Beide,alpen,Berner Voralpen,,,,,
Graubünden,Jakobshorn,Davos - Jakobshorn -2560,46.7728,9.84544,2503,1,1,0,0,1,1,1,1,,,Beide,alpen,Prättigau - Davos,,,,,"Drei Startplätze: Jakobshorn Gipfel (3 Min. von Seilbahn, Windsack), Jatzhütte (10 Min., Wind S-SW-W, einfach), Brämabül (Winter Lift, Sommer 20 Min. Fussweg vom Gipfel)."
Graubünden,Jakobshorn,Jatzmeder-2090,46.7449,9.80361,2090,0,0,0,0,0,0,1,0,,,Beide,alpen,Prättigau - Davos,,,,,
Graubünden,Gürgaletsch,Churer Joch,46.8075,9.56914,2030,0,0,0,0,0,0,1,0,,,Süd,voralpen,Ostschweiz,,,,,
Berneroberland,Jungfraujoch,Jungfraujoch,46.5477,7.97582,3460,1,0,0,0,0,0,0,1,,,Beide,alpen,Berner Voralpen,,,Hoher Berglandeplatz - entsprechende Erfahrung ist ein MUSS.,"ANSPRUCH: hochalpiner Berglandeplatz → nur für sehr erfahrene Piloten; dauerhafte caution, kein Wetter-Trigger.",
Berneroberland,Käserstatt,Käserstatt,46.7568,8.21809,1820,0,0,0,0,0,1,0,0,,,Beide,alpen,Berner Voralpen,,,,,
Ostschweiz,Kerenzerberg,Kerenzerberg,47.1091,9.08367,671,0,0,0,0,0,0,0,1,,,Süd,voralpen,Glarnerland / Walensee,,,Nur markierte Wege zum Startplatz benutzen.,"REGEL: nur markierte Wege zum Start → Hinweis, kein Einfluss auf den Status.",Windsack vorhanden.
Berneroberland,Tschuggen,Klein Tschuggen,46.6063,7.94507,2240,0,0,0,0,0,0,0,1,,,Beide,alpen,Berner Voralpen,,,,,
Zentralschweiz,Klewenalp,Klewenalp,46.9402,8.4761,1589,0,1,0,0,0,0,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Wallis,Seetalhorn,Kreuzboden,46.1366,7.96853,2500,0,0,0,0,0,0,1,0,,,Beide,hochalpin,Mattertal / Saastal,,,,,
Ostschweiz,Kronberg,Kronberg (Appenzell- Jakobsbad),47.2914,9.32711,1636,1,0,0,0,1,0,1,0,,,Süd,alpen,Alpstein / Ostschweiz,,,,,Alle Starts sehr nahe an der Gondelstation.
Wallis,Chou ou Tsou,La Baye,46.1689,7.11559,2080,0,0,0,1,0,0,0,0,,,Beide,hochalpin,Unterwallis,,,,,
Waadt,La Cotelette,La Cotelette,46.78,6.48674,1251,0,0,1,1,0,0,0,0,,,Süd,jura,Jura West,,,,,
Waadt,La Montagnette,La Montagnette,46.4465,7.14713,1700,1,0,0,0,0,0,0,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Neuenburg,La Robella,La Robella,46.8729,6.54988,1360,1,0,0,0,0,0,0,0,,,Süd,jura,Jura West,,,,,
Neuenburg,La Roche,La Roche-Devant,46.9287,6.74834,1380,0,0,0,1,0,0,0,0,,,Süd,jura,Jura West,,,,,
Waadt,Videmanette,La Videmanette-2120,46.4552,7.19784,2120,0,0,0,0,0,1,0,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Waadt,Videmanette,La Videmanette-2180,46.4543,7.2024,2180,0,0,0,0,0,0,0,1,,,Süd,voralpen,Freiburger Voralpen,,,,,
Fribourg,La Vudalla,La Vudalla-1620 SO,46.5501,7.04421,1620,0,0,0,1,0,0,0,0,,,Süd,voralpen,Schwarzsee / Gantrisch,,,,,
Fribourg,La Vudalla,La Vudalla-1620 NW,46.5515,7.04616,1620,0,0,0,0,0,0,0,1,,,Süd,voralpen,Schwarzsee / Gantrisch,,,,,
Graubünden,Alp Languard,Las Sours,46.4967,9.92048,2560,0,0,0,0,0,0,1,0,,,Beide,hochalpin,Engadin Ober,,,,,
Berneroberland,Tschuggen,Lauberhorn,46.5919,7.94755,2470,0,0,0,1,0,0,0,0,,,Beide,alpen,Berner Voralpen,,,,,
Berneroberland,Tschuggen,Lauberhornschulter-2310,46.5856,7.94618,2310,0,0,0,0,0,0,1,0,,,Beide,alpen,Berner Voralpen,,,,,
Zentralschweiz,Titlis,Laubersgrat,46.7912,8.42095,2300,0,0,0,0,0,0,0,1,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Schwyz,Klingenstock,Laubgarten,46.9597,8.71638,1600,0,1,0,0,0,0,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Solothurn,Laupersdörfer Stierenberg,Laupersdoerfer Stierenberg,47.3323,7.64502,1020,0,0,0,1,0,0,0,0,,,Süd,jura,Jura Zentral,,,,,
Zentralschweiz,Haldigrat,Lauwistock,46.8999,8.44655,2090,1,0,0,0,0,0,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Waadt,Le Chamossaire,Le Chamossaire-1980,46.3256,7.06236,2059,0,0,0,0,1,1,1,0,,,Süd,alpen,Waadtländer Alpen,,,,,
Fribourg,Mont Moleson,Le Moléson-2000 NW,46.5487,7.01684,2000,0,0,0,0,0,0,0,1,,,Süd,voralpen,Freiburger Voralpen,,,,,
Fribourg,Mont Moleson,Le Moléson-2000 SW,46.5464,7.01751,2000,0,0,0,0,0,1,0,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Waadt,Le Suchet,Le Suchet,46.7725,6.46646,1588,1,1,1,1,1,1,1,1,,,Süd,jura,Jura West,,,,,
Waadt,Les Diablerets,Les Diablerets,46.3239,7.20816,2880,0,0,1,0,1,0,0,0,,,Süd,alpen,Waadtländer Alpen,,,,,
Fribourg,Le Levanchy,Les Merlas,46.5449,7.12052,1700,0,0,0,0,0,0,0,1,,,Süd,voralpen,Freiburger Voralpen,,,,,
Waadt,Les Rodoments,Les Rodomonts-1800,46.5056,7.22172,1800,0,0,0,0,0,1,0,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Waadt,Les Rodoments,Les Rodomonts-1860,46.5079,7.22562,1860,0,0,1,0,1,0,0,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Fribourg,Le Levanchy,Levanchy,46.5453,7.11325,1368,0,0,0,0,0,0,0,1,,,Süd,voralpen,Freiburger Voralpen,"Günstig bei West-Nordwest, auch bei Bise (Nordwind) fliegbar.",Erweiterte Nutzbarkeit: auch Bise-Tage fliegbar → Tag nicht wegen Nordanströmung abschreiben.,Rotoren bei auffrischendem Südwestwind.,WETTER-TRIGGER: auffrischender Südwestwind erzeugt Rotoren → SW-Stunden caution bis no_go.,
Zentralschweiz,Linderenalp,Linderenalp-1540,46.8697,8.2958,1540,1,0,0,0,0,0,0,1,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Wallis,La Loutze,Loutze,46.2133,7.16391,1850,0,0,0,1,0,0,0,0,,,Beide,hochalpin,Unterwallis,,,,,
Berneroberland,Hüttstett,Lungern Hütstett,46.7889,8.19432,1720,1,0,0,0,0,0,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Zentralschweiz,Schönbüel,Lungern Schönbüel,46.7877,8.0994,2002,0,1,0,1,1,0,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Berneroberland,Mäggisseren,Mägisserhorn-2260,46.5947,7.59915,2260,0,0,0,0,0,0,1,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Berneroberland,Männlichen,Maennlichen (Wengen),46.6185,7.93866,2340,0,0,1,1,1,0,0,0,,,Beide,alpen,Berner Voralpen,,,,,
Berneroberland,Tschuggen,Männlichen Station,46.6104,7.9425,2220,0,0,0,0,0,1,0,0,,,Beide,alpen,Berner Voralpen,,,,,
Zentralschweiz,Marbachegg,Marbachegg-1480,46.835,7.90427,1446,1,1,0,0,0,1,1,1,,,Beide,alpen,Berner Oberland,,,,,
Graubünden,Piz Martegnas,Martegnas-2600 NW,46.5815,9.53151,2600,0,0,0,0,0,0,0,1,,,Beide,hochalpin,Engadin Unter,,,,,
Graubünden,Piz Martegnas,Martegnas-2600 NO,46.5765,9.53263,2600,0,1,0,0,0,0,0,0,,,Beide,hochalpin,Engadin Unter,,,,,
Ostschweiz,Maschgenkamm,Flumserberge -Maschgenkamm,47.0695,9.25177,1993,1,0,1,1,1,0,0,1,,,Süd,voralpen,Glarnerland / Walensee,,,,,Startplatz direkt neben Gondelstation. Windsack und Infotafel vorhanden.
Wallis,Veysonnaz,Mayens de Veysonnaz,46.1873,7.34668,1615,0,1,0,0,0,0,0,0,,,Beide,hochalpin,Unterwallis,,,,,
Berneroberland,Schynige Platte,Mederalp,46.6255,7.88388,1660,0,0,1,0,1,0,0,0,,,Beide,alpen,Berner Voralpen,,,,,
Zentralschweiz,Melchsee-Frutt,Melchsee-Frutt Daempfelsmatt,46.779,8.26777,1900,1,1,0,0,0,0,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Berneroberland,Metsch,Metschstand-2060,46.4437,7.49199,2060,0,0,0,0,0,1,0,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Berneroberland,Metsch,Metschstand-2090,46.4451,7.4959,2090,0,0,1,0,1,0,0,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Zentralschweiz,Mettenen,Mettener Butzli,46.8829,8.78672,2040,0,0,0,0,0,1,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Zentralschweiz,Pilatus,Mittagguepfi,46.972,8.18638,1850,0,0,0,0,0,0,0,1,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Wallis,Roc D'Orsival,Mont Noble-2640,46.2071,7.48787,2640,0,0,0,0,0,1,0,0,,,Beide,hochalpin,Unterwallis,,,,,
Wallis,Vercorin,Mont Noble-2440,46.2112,7.48399,2440,0,0,0,0,0,0,1,0,,,Beide,hochalpin,Unterwallis,,,,,
Jura,Mont Raimeux Süd,Mont Raimeux,47.2996,7.42674,1246,0,0,0,1,1,1,0,0,,,Süd,jura,Jura Zentral,,,,,
Bern,Graitery,Montagne de Moutier,47.2874,7.33156,1080,0,0,0,1,0,0,0,0,,,Süd,jura,Jura Zentral,,,,,
Bern,Montagne de Sorvillier,Montagne de Sorvilier,47.2236,7.31453,1220,1,0,0,0,0,0,0,0,,,Süd,jura,Jura Zentral,,,,,
Graubünden,Montalin,Chur - Montalin -2260,46.8638,9.59039,2260,0,0,0,0,1,1,0,0,,,Beide,voralpen,Ostschweiz,,,,,
Tessin,Monte Bisbino,Monte Bisbino (Italien),45.8734,9.062,1325,0,0,0,0,0,0,1,0,,,Nord,alpen,Tessin Zentral,,,,,
Tessin,Monte Generoso,Monte Generoso -1600,45.9238,9.01328,1526,0,0,0,0,1,1,0,0,,,Nord,alpen,Tessin Zentral,,,Am SW-Startplatz Seitenwind von rechts beachten.,WETTER-TRIGGER: am SW-Start Seitenwind von rechts → Start erschwert; bei kräftigem Wind caution.,Zwei Startplätze: oben (Süd) und unterhalb (Südwest).
Tessin,Monte Lema,Monte Lema,46.0407,8.83248,1601,0,0,1,1,1,0,0,0,,,Nord,alpen,Tessin Zentral,,,,,"Startplatz oben auf dem Berg, 5 Gehminuten von der Seilbahn-Bergstation."
Tessin,Monte Tamaro,Monte Tamaro -Alpe Foppa,46.1168,8.89403,1520,0,0,1,1,1,1,0,0,,,Nord,alpen,Tessin Zentral,,,,,"Startplatz 50 m von der Gondelstation, einfacher Zugang."
Berneroberland,Mentschelenalp,Möntschelealp,46.7149,7.50926,1410,1,1,0,0,0,0,0,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Tessin,Mornera,Mornera (Bellinzona),46.2058,8.9859,1375,0,0,0,0,1,1,0,0,,,Nord,alpen,Tessin Zentral,"Bester Startplatz für Streckenflüge im Tessin, sehr gut geeignet für Dreiecke.",XC-Verstärker: bei gutem Region-XC bevorzugter Streckenspot (Dreiecke) → stützt hohes streckenflug-Rating; ersetzt aber keine Region-Daten.,,,Weniger bekannt als Locarno-Cimetta. Seilbahn muss einen Tag vorher gebucht werden (April-Oktober).
Schwyz,Mostelegg,Mostelegg,47.0561,8.65879,1270,0,0,0,0,0,1,0,0,,,Süd,voralpen,Mittelland Zentral,,,,,
Graubünden,Parpaner Rothorn,Urdenfürkli / Urdenfürggli,46.7664,9.5977,2561,0,0,0,0,0,1,1,1,,,Beide,alpen,Prättigau - Davos,,,,,Startplatz nur 2 Minuten von der Seilbahnstation entfernt.
Graubünden,Motta Naluns,Motta Naluns (Schuls/ Scuol),46.8125,10.2733,2157,0,0,1,1,1,0,0,0,,,Beide,hochalpin,Engadin Ober,,,,,"Zwei Startplätze nahe der Gondelstation, leicht erkennbar. Aufstieg per Gondel möglich."
Ostschweiz,Pizol,Wangs -Pizolbahn Endstation,46.9821,9.41763,2139,1,0,0,0,0,0,0,0,,,Beide,voralpen,Ostschweiz,,,,,Mehrere Startplätze in verschiedenen Höhen verfügbar.
Berneroberland,Betelberg,Mülkerblatte,46.4347,7.41392,1936,0,1,0,0,0,0,0,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Graubünden,Diavolezza,Munt Pers (Diavolezza/ Pontresina),46.419,9.95466,3120,0,0,0,0,0,1,0,0,,,Beide,hochalpin,Engadin Ober,,,,,
Graubünden,La Punt,la Punt - Muntische,46.5919,9.90854,2480,0,0,1,1,1,0,0,0,,,Beide,hochalpin,Engadin Ober,,,,,
Berneroberland,Wurmegg,Mürren-1680,46.5603,7.89006,1684,0,0,0,1,0,0,0,0,,,Beide,alpen,Berner Voralpen,,,,,
Zentralschweiz,Musenalp,Musenalp,46.9319,8.43665,1750,0,0,0,0,0,0,1,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Graubünden,Feldis,Feldis - Mutta -1980,46.7988,9.45479,1980,0,0,0,0,0,1,1,1,,,Beide,voralpen,Ostschweiz,,,,,
Graubünden,Scalottas,Muttner Höhi,46.6779,9.47446,1900,0,0,0,0,0,1,0,0,,,Beide,hochalpin,Engadin Unter,,,,,
Graubünden,Scalottas,Muttnerhorn,46.6493,9.4858,2400,0,0,0,0,0,1,0,0,,,Beide,hochalpin,Engadin Unter,,,,,
Graubünden,Cassons,Flims -Naraus-1850,46.8606,9.26761,1839,0,0,0,0,1,1,0,0,,,Beide,hochalpin,Surselva,,,,,"Startplatz auf Gras, Windsack vorhanden."
Berneroberland,Wasserscheide,Nässli,46.6713,7.41642,1760,0,0,0,1,0,0,0,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Solothurn,Stierenberg,Niderwiler Stierenberg,47.2703,7.55942,1160,0,0,0,1,0,0,0,0,,,Süd,jura,Jura Zentral,,,,,"Startplatz 100 m hinter dem Bergrestaurant Stierenberg. Zugang: Bus ab Solothurn HB oder Auto zum Balmberg Kurhaus, dann zu Fuss entlang des Grats nach Osten."
Zentralschweiz,Niederbauen - Emmetten,Emmetten - Niederbauen,46.9467,8.53676,1573,1,0,0,0,0,0,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,"Grosser Startplatz, wenige Schritte von Gondel und Restaurant."
Berneroberland,Interlaken,Niederhorn-1920,46.71,7.77342,1920,0,0,0,1,1,0,0,0,,,Beide,alpen,Berner Voralpen,Am besten morgens starten - ab Mittag zunehmender Rückenwind am Start.,"FENSTER-CAP: ab Mittag Rückenwind am Start → best_window endet ~12:00; Nachmittagsstunden zählen nicht als produktiv → prod_h effektiv halbiert, Rating entsprechend tiefer.",,,
Berneroberland,Niesen,Niesen-2280,46.6441,7.64566,2254,0,0,0,0,0,1,0,0,,,Süd,voralpen,Freiburger Voralpen,,,Windverhältnisse am Start können tückisch sein.,"WETTER-TRIGGER: Windverhältnisse am Start können tückisch sein → bei wechselhaftem/böigem Wind caution, sorgfältiger Windcheck vor dem Start.",Steiler Start mit reichlich Platz.
Wallis,Haute-Nendaz,Novelly-2360,46.1378,7.33641,2360,1,0,0,0,0,0,1,0,,,Beide,hochalpin,Unterwallis,,,,,
Zentralschweiz,Ober Büelen,Ob Mus,46.8399,8.24223,1360,0,0,0,0,0,0,0,1,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Ostschweiz,Pizol,Bad Ragaz - Pardiel- Obersaess,46.9904,9.4587,1700,1,0,0,0,0,0,0,0,,,Süd,voralpen,Ostschweiz,,,,,
Zentralschweiz,Ober Büelen,Ober Büelen,46.8536,8.27036,1560,1,0,0,0,0,0,1,1,,,Süd,alpen,Zentralschweizer Voralpen,Thermik setzt erst um ca. 13:00 ein und kann anfangs turbulent sein.,"FENSTER-CAP: Thermik setzt erst ~13:00 ein → Vormittag nicht produktiv, best_window ab 13:00; frühe Turbulenz in thermal_quality erwähnen.",Startplatz liegt im Lee des Talwinds (meist knapp darüber).,"WETTER-TRIGGER: Start liegt im Lee des Talwinds → bei kräftigem Talwind Turbulenz am Start (caution), nachmittags kritischer.",Einfacher Startplatz bei passendem Wind.
Zentralschweiz,Gitschenen,Ober Egg,46.9029,8.50436,1580,0,0,0,1,0,0,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Wallis,Unterrothorn,Zermatt -Oberrothorn,46.0266,7.8125,3400,0,0,0,0,0,1,0,0,,,Beide,hochalpin,Mattertal / Saastal,,,,,
Zentralschweiz,Sittlisalp,Obsaum,46.8545,8.75454,1800,1,0,0,0,0,0,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Graubünden,Parpaner Rothorn,Parpaner Rothorn -2800,46.7418,9.59893,2827,0,0,0,1,1,0,1,0,,,Beide,hochalpin,Engadin Unter,,,,,
Graubünden,Parsenn,Davos - Parsenn- Hoehenweg  -2200,46.82,9.82723,2167,0,1,1,1,1,0,0,0,,,Beide,alpen,Prättigau - Davos,,,,,"Startplatz auf 2200 m, ca. 150 m nördlich der Mittelstation der Parsennbahn. Ganzjährig nutzbar, leichter Start."
Wallis,Pas de Maimbre,Anzere - Pas de Maimbra -2350,46.3124,7.38541,2350,0,0,1,1,1,1,1,0,,,Beide,hochalpin,Unterwallis,,,,,
Wallis,Petit Mont Bonvin,Montana- Aminona - Petit Mont Bonvin-2380,46.3493,7.52502,2380,0,0,0,0,0,1,0,0,,,Beide,hochalpin,Unterwallis,,,,,
Berneroberland,Abendberg,Pfaffen,46.6308,7.50785,1930,0,0,0,1,0,0,0,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Berneroberland,Pfingstegg,Pfingstegg,46.6161,8.05613,1410,0,0,0,0,0,0,1,0,,,Beide,alpen,Berner Voralpen,,,,,
Graubünden,Jakobshorn,Pischa,46.8108,9.92055,2570,0,0,0,0,0,1,0,0,,,Beide,alpen,Prättigau - Davos,,,,,
Graubünden,Alp Stätz,Piz Danis-2450,46.7398,9.50952,2450,0,0,1,0,1,1,0,0,,,Beide,hochalpin,Engadin Unter,,,,,
Graubünden,Piz Lagalp,Piz Lagalb-2900,46.4297,10.0202,2900,0,0,0,0,0,1,1,1,,,Beide,hochalpin,Engadin Ober,Winter: NW-Start neben der Gondelstation; Sommer: W/SW-Start auf dem Lagalb.,"SAISON-GATE: Winter nur NW-Start, Sommer nur W/SW-Start — passt die Saisonrichtung nicht, ist der Tag trotz Sektor-Match nicht startbar → Rating 1.",,,Sommerstartplatz: 15 Min. Aufstieg.
Graubünden,Alp de la Creusch,Piz Mulain-2340,46.6982,9.6191,2340,0,0,0,0,0,1,0,0,,,Beide,hochalpin,Engadin Unter,,,,,
Graubünden,Piz Mundaun,Piz Mundaun,46.7425,9.15818,2040,0,0,0,1,1,0,1,0,,,Beide,hochalpin,Surselva,,,,,
Graubünden,Piz Nair,Piz Nair-2990,46.5081,9.78479,2990,0,0,0,0,0,1,0,0,,,Beide,hochalpin,Engadin Ober,,,,,
Graubünden,Piz Nair,Piz Nair-2920,46.5058,9.7899,2920,0,0,0,1,0,0,0,0,,,Beide,hochalpin,Engadin Ober,,,,,
Graubünden,Scalottas,Piz Scalottas-2300,46.7204,9.51009,2300,0,0,0,0,0,0,0,1,,,Beide,hochalpin,Engadin Unter,,,,,
Graubünden,Scalottas,Piz Scalottas-2160,46.728,9.51496,2160,0,0,1,0,1,0,0,0,,,Beide,hochalpin,Engadin Unter,,,,,
Berneroberland,Planplatten,Meiringen - Planplatten-2240,46.7365,8.25473,2226,0,0,0,1,0,0,1,0,,,Beide,alpen,Berner Voralpen,,,,,
Wallis,Chou ou Tsou,Planuit,46.1563,7.11836,1050,0,0,0,1,0,0,0,0,,,Beide,hochalpin,Unterwallis,,,,,
Graubünden,Schlans,Platta Cotschna-1580,46.7546,8.9694,1580,0,0,0,1,0,0,0,0,,,Beide,hochalpin,Surselva,,,,,
Graubünden,Schlans,Platta Cotschna-2160,46.7623,8.96373,2160,0,0,0,1,0,0,0,0,,,Beide,hochalpin,Surselva,,,,,
Wallis,Seetalhorn,Saas Fee -Plattjen,46.09,7.94093,2550,0,0,0,0,0,0,0,1,,,Beide,hochalpin,Mattertal / Saastal,,,,,
Waadt,Les Pleiades,Pleiades,46.4833,6.90718,1312,0,0,0,0,1,1,1,1,,,Süd,alpen,Waadtländer Alpen,,,,,
Wallis,Portes D'Onne,Portes d Onne-1920,46.2826,6.8645,1920,0,0,1,0,1,0,0,0,,,Süd,alpen,Waadtländer Alpen,,,,,
Graubünden,Präzer Alp,Präzer Alp,46.7386,9.37401,2120,0,0,1,0,1,0,0,0,,,Beide,hochalpin,Engadin Unter,,,,,
Ostschweiz,Prodkamm,Prodkamm,47.0741,9.26825,1930,1,1,1,1,0,0,1,1,,,Süd,voralpen,Glarnerland / Walensee,,,,,
Zentralschweiz,Ramenegg,Ramenegg,47.1025,8.61505,1130,0,0,1,0,1,0,0,0,,,Süd,voralpen,Mittelland Zentral,,,,,
Berneroberland,Ramslauen,Ramslauenen,46.5788,7.70673,1470,0,0,1,0,1,0,0,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Berneroberland,Rellerligrat,Rellerligrat-1800,46.5088,7.26275,1800,0,0,1,0,1,0,1,0,,,Süd,voralpen,Freiburger Voralpen,,,,,
Wallis,Laucheralp,Restialp,46.3961,7.73768,2100,0,0,0,1,0,0,0,0,,,Beide,hochalpin,Zentralwallis,,,,,
Berneroberland,Reuti,Reuti Sandhubel,46.7383,8.20577,1165,0,0,0,0,0,1,0,0,,,Beide,alpen,Berner Voralpen,,,,,
Wallis,Mutti,Bellwald - Ried,46.4352,8.15426,1680,0,0,0,0,0,1,0,0,,,Beide,hochalpin,Oberwallis / Goms,,,,,
Zentralschweiz,Wängihorn,Riedersegg,46.8028,8.70415,2200,0,0,0,0,0,0,1,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
Zentralschweiz,Ruogig,Rietlig,46.8898,8.69176,1280,0,0,0,0,0,1,0,0,,,Süd,alpen,Zentralschweizer Voralpen,,,,,
